PROJECT_ID,RISK_ID,DATE_ARCHIVED,COST_MEAN,COST_P80,COST_PROBOPP,COST_PROBLOW,COST_PROBMOD,COST_PROBHIGH,COST_RISKRANKING,SCHEDULE_MEAN,SCHEDULE_P80,SCHEDULE_PROBOPP,SCHEDULE_PROBLOW,SCHEDULE_PROBMOD,SCHEDULE_PROBHIGH,SCHEDULE_RISKRANKING,OUTCOME_MEAN,OUTCOME_P80,OUTCOME_PROBOPP,OUTCOME_PROBLOW,OUTCOME_PROBMOD,OUTCOME_PROBHIGH,OUTCOME_RISKRANKING
4134,11,12-JUL-24 02.30.14.779792000 AM,9500,9800,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,2.37484018139999,3.800308365,NA,0.6292,0.3708,NA,2
4134,12,12-JUL-24 02.30.14.857641000 AM,NA,NA,NA,NA,NA,NA,NA,171,176,NA,NA,NA,1,4,7.124501623843999,8.543597055,NA,NA,0.26580000000000004,0.7342000000000001,4
4134,13,12-JUL-24 02.30.14.940662000 AM,800000,860020,NA,NA,NA,1,4,144,155,NA,NA,NA,1,4,1.998282527072,3.17997525,NA,0.7566,0.2434,-5.551115123125783e-17,2
4134,14,12-JUL-24 02.30.15.027998000 AM,1900000,1960020,NA,NA,NA,1,4,347,554,NA,2e-4,NA,0.9998,4,7.12556973683199,8.532127124999999,NA,NA,0.2626,0.73740000000000006,4
4134,16,12-JUL-24 02.30.15.106833000 AM,7500,12002,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,0.0625849400000002,0.1090651025,NA,1,NA,NA,2
4134,21,12-JUL-24 02.30.15.482326000 AM,120000,132004,NA,NA,NA,1,4,18,20,NA,NA,NA,1,4,1.498848135064,2.37851699,NA,0.9644,0.0356,-3.4694469519536136e-17,2
4135,3,12-JUL-24 02.32.28.596453000 AM,47500,49001,NA,NA,NA,1,4,114,118,NA,NA,NA,1,4,7.124533147819979,8.550714375,NA,NA,0.26580000000000004,0.7342000000000001,4
4151,1,12-JUL-24 02.31.53.895111000 AM,0,0,NA,1,NA,NA,2,0,0,NA,1,NA,NA,2,1.0013697656,1.57675867,NA,1,NA,NA,2
4151,2,12-JUL-24 02.31.53.978628000 AM,1,1,NA,1,NA,NA,2,1,1,NA,1,NA,NA,2,1.4992705430159998,2.37013795,NA,0.9584,0.041600000000000005,-2.7755575615628907e-17,2
4151,3,12-JUL-24 02.31.54.063628000 AM,0,0,NA,1,NA,NA,2,0,0,NA,1,NA,NA,2,0.06250688894399979,0.1096795575,NA,1,NA,NA,2
